model,game_id,condition,source,matchup,rho,beta_pd,info_condition,risk_condition,theta,beta_cd,role,eta_pooled,eta_aligned,eta_misaligned,delta_eta,gamma_mis,beta_ct
GPT-4o,pd_pd_results_ai_temp6_20260608_191632_HE_5_3,ai,PD,GPT-4o vs Gemini 2.5 Flash,,0.12,,,,,,,,,,,
Gemini 2.5 Flash,pd_pd_results_ai_temp6_20260608_191632_HE_5_3,ai,PD,GPT-4o vs Gemini 2.5 Flash,0.0,0.3,,,,,,,,,,,
Claude Opus,pd_pd_results_ai_temp6_20260608_191632_HE_5_4,ai,PD,Claude Opus vs Claude Sonnet,,0.17,,,,,,,,,,,
Claude Sonnet,pd_pd_results_ai_temp6_20260608_191632_HE_5_4,ai,PD,Claude Opus vs Claude Sonnet,,0.1035,,,,,,,,,,,
GPT-4o,pd_pd_results_ai_temp6_20260608_191632_HE_5_5,ai,PD,GPT-4o vs GPT-4o-mini,0.6667,0.2225,,,,,,,,,,,
GPT-4o-mini,pd_pd_results_ai_temp6_20260608_191632_HE_5_5,ai,PD,GPT-4o vs GPT-4o-mini,0.3824,0.28,,,,,,,,,,,
Gemini 2.5 Flash,pd_pd_results_ai_temp6_20260608_191632_HE_5_6,ai,PD,Gemini 2.5 Flash vs Gemini 2.5 Flash Lite,0.0,0.5855,,,,,,,,,,,
Gemini 2.5 Flash Lite,pd_pd_results_ai_temp6_20260608_191632_HE_5_6,ai,PD,Gemini 2.5 Flash vs Gemini 2.5 Flash Lite,,0.6875,,,,,,,,,,,
Claude Opus,pd_pd_results_ai_temp6_20260608_193407_HE_6_1,ai,PD,Claude Opus vs GPT-4o,,0.1225,,,,,,,,,,,
GPT-4o,pd_pd_results_ai_temp6_20260608_193407_HE_6_1,ai,PD,Claude Opus vs GPT-4o,,0.09,,,,,,,,,,,
Claude Opus,pd_pd_results_ai_temp6_20260608_193407_HE_6_2,ai,PD,Claude Opus vs Gemini 2.5 Flash,,0.1125,,,,,,,,,,,
Gemini 2.5 Flash,pd_pd_results_ai_temp6_20260608_193407_HE_6_2,ai,PD,Claude Opus vs Gemini 2.5 Flash,0.0,0.18,,,,,,,,,,,
GPT-4o,pd_pd_results_ai_temp6_20260608_193407_HE_6_3,ai,PD,GPT-4o vs Gemini 2.5 Flash,0.9444,0.17,,,,,,,,,,,
Gemini 2.5 Flash,pd_pd_results_ai_temp6_20260608_193407_HE_6_3,ai,PD,GPT-4o vs Gemini 2.5 Flash,0.0,0.2225,,,,,,,,,,,
Claude Opus,pd_pd_results_ai_temp6_20260608_193407_HE_6_4,ai,PD,Claude Opus vs Claude Sonnet,,0.1435,,,,,,,,,,,
Claude Sonnet,pd_pd_results_ai_temp6_20260608_193407_HE_6_4,ai,PD,Claude Opus vs Claude Sonnet,,0.1065,,,,,,,,,,,
GPT-4o,pd_pd_results_ai_temp6_20260608_193407_HE_6_5,ai,PD,GPT-4o vs GPT-4o-mini,,0.0975,,,,,,,,,,,
GPT-4o-mini,pd_pd_results_ai_temp6_20260608_193407_HE_6_5,ai,PD,GPT-4o vs GPT-4o-mini,,0.095,,,,,,,,,,,
Gemini 2.5 Flash,pd_pd_results_ai_temp6_20260608_193407_HE_6_6,ai,PD,Gemini 2.5 Flash vs Gemini 2.5 Flash Lite,0.0,0.1645,,,,,,,,,,,
Gemini 2.5 Flash Lite,pd_pd_results_ai_temp6_20260608_193407_HE_6_6,ai,PD,Gemini 2.5 Flash vs Gemini 2.5 Flash Lite,,0.5,,,,,,,,,,,
Claude Opus,pd_pd_results_ai_temp6_20260608_195818_HE_7_1,ai,PD,Claude Opus vs GPT-4o,,0.136,,,,,,,,,,,
GPT-4o,pd_pd_results_ai_temp6_20260608_195818_HE_7_1,ai,PD,Claude Opus vs GPT-4o,,0.1,,,,,,,,,,,
Claude Opus,pd_pd_results_ai_temp6_20260608_195818_HE_7_2,ai,PD,Claude Opus vs Gemini 2.5 Flash,,0.109,,,,,,,,,,,
Gemini 2.5 Flash,pd_pd_results_ai_temp6_20260608_195818_HE_7_2,ai,PD,Claude Opus vs Gemini 2.5 Flash,0.0,0.1055,,,,,,,,,,,
GPT-4o,pd_pd_results_ai_temp6_20260608_195818_HE_7_3,ai,PD,GPT-4o vs Gemini 2.5 Flash,-0.0588,0.745,,,,,,,,,,,
Gemini 2.5 Flash,pd_pd_results_ai_temp6_20260608_195818_HE_7_3,ai,PD,GPT-4o vs Gemini 2.5 Flash,-0.1176,0.622,,,,,,,,,,,
Claude Opus,pd_pd_results_ai_temp6_20260608_195818_HE_7_4,ai,PD,Claude Opus vs Claude Sonnet,,0.137,,,,,,,,,,,
Claude Sonnet,pd_pd_results_ai_temp6_20260608_195818_HE_7_4,ai,PD,Claude Opus vs Claude Sonnet,,0.1135,,,,,,,,,,,
GPT-4o,pd_pd_results_ai_temp6_20260608_195818_HE_7_5,ai,PD,GPT-4o vs GPT-4o-mini,,0.0825,,,,,,,,,,,
GPT-4o-mini,pd_pd_results_ai_temp6_20260608_195818_HE_7_5,ai,PD,GPT-4o vs GPT-4o-mini,,0.1,,,,,,,,,,,
Gemini 2.5 Flash,pd_pd_results_ai_temp6_20260608_195818_HE_7_6,ai,PD,Gemini 2.5 Flash vs Gemini 2.5 Flash Lite,0.0,0.165,,,,,,,,,,,
Gemini 2.5 Flash Lite,pd_pd_results_ai_temp6_20260608_195818_HE_7_6,ai,PD,Gemini 2.5 Flash vs Gemini 2.5 Flash Lite,,0.725,,,,,,,,,,,
Claude Opus,pd_pd_results_ai_temp6_20260608_201422_HE_8_1,ai,PD,Claude Opus vs GPT-4o,,0.1355,,,,,,,,,,,
GPT-4o,pd_pd_results_ai_temp6_20260608_201422_HE_8_1,ai,PD,Claude Opus vs GPT-4o,,0.07,,,,,,,,,,,
Claude Opus,pd_pd_results_ai_temp6_20260608_201422_HE_8_2,ai,PD,Claude Opus vs Gemini 2.5 Flash,,0.109,,,,,,,,,,,
Gemini 2.5 Flash,pd_pd_results_ai_temp6_20260608_201422_HE_8_2,ai,PD,Claude Opus vs Gemini 2.5 Flash,0.0,0.1,,,,,,,,,,,
GPT-4o,pd_pd_results_ai_temp6_20260608_201422_HE_8_3,ai,PD,GPT-4o vs Gemini 2.5 Flash,,0.075,,,,,,,,,,,
Gemini 2.5 Flash,pd_pd_results_ai_temp6_20260608_201422_HE_8_3,ai,PD,GPT-4o vs Gemini 2.5 Flash,0.0,0.1625,,,,,,,,,,,
Claude Opus,pd_pd_results_ai_temp6_20260608_201422_HE_8_4,ai,PD,Claude Opus vs Claude Sonnet,,0.156,,,,,,,,,,,
Claude Sonnet,pd_pd_results_ai_temp6_20260608_201422_HE_8_4,ai,PD,Claude Opus vs Claude Sonnet,,0.115,,,,,,,,,,,
GPT-4o,pd_pd_results_ai_temp6_20260608_201422_HE_8_5,ai,PD,GPT-4o vs GPT-4o-mini,,0.1,,,,,,,,,,,
GPT-4o-mini,pd_pd_results_ai_temp6_20260608_201422_HE_8_5,ai,PD,GPT-4o vs GPT-4o-mini,,0.09,,,,,,,,,,,
Gemini 2.5 Flash,pd_pd_results_ai_temp6_20260608_201422_HE_8_6,ai,PD,Gemini 2.5 Flash vs Gemini 2.5 Flash Lite,,0.1175,,,,,,,,,,,
Gemini 2.5 Flash Lite,pd_pd_results_ai_temp6_20260608_201422_HE_8_6,ai,PD,Gemini 2.5 Flash vs Gemini 2.5 Flash Lite,,0.865,,,,,,,,,,,
Claude Opus,pd_pd_results_ai_temp6_20260608_204319_HE_9_1,ai,PD,Claude Opus vs GPT-4o,,0.1485,,,,,,,,,,,
GPT-4o,pd_pd_results_ai_temp6_20260608_204319_HE_9_1,ai,PD,Claude Opus vs GPT-4o,,0.0975,,,,,,,,,,,
Claude Opus,pd_pd_results_ai_temp6_20260608_204319_HE_9_2,ai,PD,Claude Opus vs Gemini 2.5 Flash,,0.1015,,,,,,,,,,,
Gemini 2.5 Flash,pd_pd_results_ai_temp6_20260608_204319_HE_9_2,ai,PD,Claude Opus vs Gemini 2.5 Flash,0.0,0.051,,,,,,,,,,,
GPT-4o,pd_pd_results_ai_temp6_20260608_204319_HE_9_3,ai,PD,GPT-4o vs Gemini 2.5 Flash,-0.5,0.385,,,,,,,,,,,
Gemini 2.5 Flash,pd_pd_results_ai_temp6_20260608_204319_HE_9_3,ai,PD,GPT-4o vs Gemini 2.5 Flash,-0.1,0.7285,,,,,,,,,,,
Claude Opus,pd_pd_results_ai_temp6_20260608_204319_HE_9_4,ai,PD,Claude Opus vs Claude Sonnet,,0.1405,,,,,,,,,,,
Claude Sonnet,pd_pd_results_ai_temp6_20260608_204319_HE_9_4,ai,PD,Claude Opus vs Claude Sonnet,,0.1015,,,,,,,,,,,
GPT-4o,pd_pd_results_ai_temp6_20260608_204319_HE_9_5,ai,PD,GPT-4o vs GPT-4o-mini,,0.0975,,,,,,,,,,,
GPT-4o-mini,pd_pd_results_ai_temp6_20260608_204319_HE_9_5,ai,PD,GPT-4o vs GPT-4o-mini,,0.1,,,,,,,,,,,
Gemini 2.5 Flash,pd_pd_results_ai_temp6_20260608_204319_HE_9_6,ai,PD,Gemini 2.5 Flash vs Gemini 2.5 Flash Lite,0.1923,0.4635,,,,,,,,,,,
Gemini 2.5 Flash Lite,pd_pd_results_ai_temp6_20260608_204319_HE_9_6,ai,PD,Gemini 2.5 Flash vs Gemini 2.5 Flash Lite,-0.4205,0.4975,,,,,,,,,,,
Claude Opus,pd_pd_results_ai_temp6_20260608_210202_HE_10_1,ai,PD,Claude Opus vs GPT-4o,,0.136,,,,,,,,,,,
GPT-4o,pd_pd_results_ai_temp6_20260608_210202_HE_10_1,ai,PD,Claude Opus vs GPT-4o,,0.1,,,,,,,,,,,
Claude Opus,pd_pd_results_ai_temp6_20260608_210202_HE_10_2,ai,PD,Claude Opus vs Gemini 2.5 Flash,,0.115,,,,,,,,,,,
Gemini 2.5 Flash,pd_pd_results_ai_temp6_20260608_210202_HE_10_2,ai,PD,Claude Opus vs Gemini 2.5 Flash,0.0,0.1175,,,,,,,,,,,
GPT-4o,pd_pd_results_ai_temp6_20260608_210202_HE_10_3,ai,PD,GPT-4o vs Gemini 2.5 Flash,0.0256,0.46,,,,,,,,,,,
Gemini 2.5 Flash,pd_pd_results_ai_temp6_20260608_210202_HE_10_3,ai,PD,GPT-4o vs Gemini 2.5 Flash,0.4048,0.4725,,,,,,,,,,,
Claude Opus,pd_pd_results_ai_temp6_20260608_210202_HE_10_4,ai,PD,Claude Opus vs Claude Sonnet,,0.1355,,,,,,,,,,,
Claude Sonnet,pd_pd_results_ai_temp6_20260608_210202_HE_10_4,ai,PD,Claude Opus vs Claude Sonnet,,0.109,,,,,,,,,,,
GPT-4o,pd_pd_results_ai_temp6_20260608_210202_HE_10_5,ai,PD,GPT-4o vs GPT-4o-mini,-0.1111,0.84,,,,,,,,,,,
GPT-4o-mini,pd_pd_results_ai_temp6_20260608_210202_HE_10_5,ai,PD,GPT-4o vs GPT-4o-mini,0.0,0.59,,,,,,,,,,,
Gemini 2.5 Flash,pd_pd_results_ai_temp6_20260608_210202_HE_10_6,ai,PD,Gemini 2.5 Flash vs Gemini 2.5 Flash Lite,,0.066,,,,,,,,,,,
Gemini 2.5 Flash Lite,pd_pd_results_ai_temp6_20260608_210202_HE_10_6,ai,PD,Gemini 2.5 Flash vs Gemini 2.5 Flash Lite,,0.2625,,,,,,,,,,,
Claude Opus,pd_pd_results_human_prior_temp6_20260605_144552_1_1,human_prior,PD,Claude Opus vs Human Prior (Dvorak & Fehrler 2024),0.1857,0.3545,,,,,,,,,,,
Human Prior (Dvorak & Fehrler 2024),pd_pd_results_human_prior_temp6_20260605_144552_1_1,human_prior,PD,Claude Opus vs Human Prior (Dvorak & Fehrler 2024),0.4231,0.364,,,,,,,,,,,
Claude Sonnet,pd_pd_results_human_prior_temp6_20260605_144552_1_2,human_prior,PD,Claude Sonnet vs Human Prior (Dvorak & Fehrler 2024),0.0,0.2265,,,,,,,,,,,
Human Prior (Dvorak & Fehrler 2024),pd_pd_results_human_prior_temp6_20260605_144552_1_2,human_prior,PD,Claude Sonnet vs Human Prior (Dvorak & Fehrler 2024),-0.1111,0.11,,,,,,,,,,,
GPT-4o,pd_pd_results_human_prior_temp6_20260605_144552_1_3,human_prior,PD,GPT-4o vs Human Prior (Dvorak & Fehrler 2024),0.6833,0.3875,,,,,,,,,,,
Human Prior (Dvorak & Fehrler 2024),pd_pd_results_human_prior_temp6_20260605_144552_1_3,human_prior,PD,GPT-4o vs Human Prior (Dvorak & Fehrler 2024),0.4571,0.3825,,,,,,,,,,,
GPT-4o-mini,pd_pd_results_human_prior_temp6_20260605_144552_1_4,human_prior,PD,GPT-4o-mini vs Human Prior (Dvorak & Fehrler 2024),0.0,0.385,,,,,,,,,,,
Human Prior (Dvorak & Fehrler 2024),pd_pd_results_human_prior_temp6_20260605_144552_1_4,human_prior,PD,GPT-4o-mini vs Human Prior (Dvorak & Fehrler 2024),-0.2778,0.0965,,,,,,,,,,,
Gemini 2.5 Flash,pd_pd_results_human_prior_temp6_20260605_144552_1_5,human_prior,PD,Gemini 2.5 Flash vs Human Prior (Dvorak & Fehrler 2024),0.0,0.2575,,,,,,,,,,,
Human Prior (Dvorak & Fehrler 2024),pd_pd_results_human_prior_temp6_20260605_144552_1_5,human_prior,PD,Gemini 2.5 Flash vs Human Prior (Dvorak & Fehrler 2024),,0.075,,,,,,,,,,,
Gemini 2.5 Flash Lite,pd_pd_results_human_prior_temp6_20260605_144552_1_6,human_prior,PD,Gemini 2.5 Flash Lite vs Human Prior (Dvorak & Fehrler 2024),0.2,0.5625,,,,,,,,,,,
Human Prior (Dvorak & Fehrler 2024),pd_pd_results_human_prior_temp6_20260605_144552_1_6,human_prior,PD,Gemini 2.5 Flash Lite vs Human Prior (Dvorak & Fehrler 2024),0.7647,0.1965,,,,,,,,,,,
Claude Opus,pd_pd_results_human_prior_temp6_20260606_154755_2_1,human_prior,PD,Claude Opus vs Human Prior (Dvorak & Fehrler 2024),0.5341,0.424,,,,,,,,,,,
Human Prior (Dvorak & Fehrler 2024),pd_pd_results_human_prior_temp6_20260606_154755_2_1,human_prior,PD,Claude Opus vs Human Prior (Dvorak & Fehrler 2024),0.7857,0.45,,,,,,,,,,,
Claude Sonnet,pd_pd_results_human_prior_temp6_20260606_154755_2_2,human_prior,PD,Claude Sonnet vs Human Prior (Dvorak & Fehrler 2024),0.1143,0.435,,,,,,,,,,,
Human Prior (Dvorak & Fehrler 2024),pd_pd_results_human_prior_temp6_20260606_154755_2_2,human_prior,PD,Claude Sonnet vs Human Prior (Dvorak & Fehrler 2024),0.0357,0.33,,,,,,,,,,,
GPT-4o,pd_pd_results_human_prior_temp6_20260606_154755_2_3,human_prior,PD,GPT-4o vs Human Prior (Dvorak & Fehrler 2024),0.0,0.2575,,,,,,,,,,,
Human Prior (Dvorak & Fehrler 2024),pd_pd_results_human_prior_temp6_20260606_154755_2_3,human_prior,PD,GPT-4o vs Human Prior (Dvorak & Fehrler 2024),-0.1667,0.1075,,,,,,,,,,,
GPT-4o-mini,pd_pd_results_human_prior_temp6_20260606_154755_2_4,human_prior,PD,GPT-4o-mini vs Human Prior (Dvorak & Fehrler 2024),0.4,0.3425,,,,,,,,,,,
Human Prior (Dvorak & Fehrler 2024),pd_pd_results_human_prior_temp6_20260606_154755_2_4,human_prior,PD,GPT-4o-mini vs Human Prior (Dvorak & Fehrler 2024),-0.25,0.2225,,,,,,,,,,,
Gemini 2.5 Flash,pd_pd_results_human_prior_temp6_20260606_154755_2_5,human_prior,PD,Gemini 2.5 Flash vs Human Prior (Dvorak & Fehrler 2024),0.0,0.5425,,,,,,,,,,,
Human Prior (Dvorak & Fehrler 2024),pd_pd_results_human_prior_temp6_20260606_154755_2_5,human_prior,PD,Gemini 2.5 Flash vs Human Prior (Dvorak & Fehrler 2024),,0.098,,,,,,,,,,,
Gemini 2.5 Flash Lite,pd_pd_results_human_prior_temp6_20260606_154755_2_6,human_prior,PD,Gemini 2.5 Flash Lite vs Human Prior (Dvorak & Fehrler 2024),0.7,0.4925,,,,,,,,,,,
Human Prior (Dvorak & Fehrler 2024),pd_pd_results_human_prior_temp6_20260606_154755_2_6,human_prior,PD,Gemini 2.5 Flash Lite vs Human Prior (Dvorak & Fehrler 2024),0.3718,0.553,,,,,,,,,,,
Claude Opus,pd_pd_results_human_prior_temp6_20260606_160400_3_1,human_prior,PD,Claude Opus vs Human Prior (Dvorak & Fehrler 2024),0.4667,0.4415,,,,,,,,,,,
Human Prior (Dvorak & Fehrler 2024),pd_pd_results_human_prior_temp6_20260606_160400_3_1,human_prior,PD,Claude Opus vs Human Prior (Dvorak & Fehrler 2024),0.5238,0.4285,,,,,,,,,,,
Claude Sonnet,pd_pd_results_human_prior_temp6_20260606_160400_3_2,human_prior,PD,Claude Sonnet vs Human Prior (Dvorak & Fehrler 2024),0.0,0.274,,,,,,,,,,,
Human Prior (Dvorak & Fehrler 2024),pd_pd_results_human_prior_temp6_20260606_160400_3_2,human_prior,PD,Claude Sonnet vs Human Prior (Dvorak & Fehrler 2024),-0.1667,0.1185,,,,,,,,,,,
GPT-4o,pd_pd_results_human_prior_temp6_20260606_160400_3_3,human_prior,PD,GPT-4o vs Human Prior (Dvorak & Fehrler 2024),0.3667,0.5,,,,,,,,,,,
Human Prior (Dvorak & Fehrler 2024),pd_pd_results_human_prior_temp6_20260606_160400_3_3,human_prior,PD,GPT-4o vs Human Prior (Dvorak & Fehrler 2024),0.4667,0.4445,,,,,,,,,,,
GPT-4o-mini,pd_pd_results_human_prior_temp6_20260606_160400_3_4,human_prior,PD,GPT-4o-mini vs Human Prior (Dvorak & Fehrler 2024),-0.0625,0.245,,,,,,,,,,,
Human Prior (Dvorak & Fehrler 2024),pd_pd_results_human_prior_temp6_20260606_160400_3_4,human_prior,PD,GPT-4o-mini vs Human Prior (Dvorak & Fehrler 2024),0.9412,0.214,,,,,,,,,,,
Gemini 2.5 Flash,pd_pd_results_human_prior_temp6_20260606_160400_3_5,human_prior,PD,Gemini 2.5 Flash vs Human Prior (Dvorak & Fehrler 2024),0.0,0.3355,,,,,,,,,,,
Human Prior (Dvorak & Fehrler 2024),pd_pd_results_human_prior_temp6_20260606_160400_3_5,human_prior,PD,Gemini 2.5 Flash vs Human Prior (Dvorak & Fehrler 2024),,0.069,,,,,,,,,,,
Gemini 2.5 Flash Lite,pd_pd_results_human_prior_temp6_20260606_160400_3_6,human_prior,PD,Gemini 2.5 Flash Lite vs Human Prior (Dvorak & Fehrler 2024),-0.5,0.4875,,,,,,,,,,,
Human Prior (Dvorak & Fehrler 2024),pd_pd_results_human_prior_temp6_20260606_160400_3_6,human_prior,PD,Gemini 2.5 Flash Lite vs Human Prior (Dvorak & Fehrler 2024),0.5341,0.557,,,,,,,,,,,
Claude Opus,pd_pd_results_human_prior_temp6_20260606_161945_4_1,human_prior,PD,Claude Opus vs Human Prior (Dvorak & Fehrler 2024),0.2778,0.5135,,,,,,,,,,,
Human Prior (Dvorak & Fehrler 2024),pd_pd_results_human_prior_temp6_20260606_161945_4_1,human_prior,PD,Claude Opus vs Human Prior (Dvorak & Fehrler 2024),0.5238,0.5445,,,,,,,,,,,
Claude Sonnet,pd_pd_results_human_prior_temp6_20260606_161945_4_2,human_prior,PD,Claude Sonnet vs Human Prior (Dvorak & Fehrler 2024),0.4667,0.389,,,,,,,,,,,
Human Prior (Dvorak & Fehrler 2024),pd_pd_results_human_prior_temp6_20260606_161945_4_2,human_prior,PD,Claude Sonnet vs Human Prior (Dvorak & Fehrler 2024),0.6023,0.4505,,,,,,,,,,,
GPT-4o,pd_pd_results_human_prior_temp6_20260606_161945_4_3,human_prior,PD,GPT-4o vs Human Prior (Dvorak & Fehrler 2024),0.4778,0.448,,,,,,,,,,,
Human Prior (Dvorak & Fehrler 2024),pd_pd_results_human_prior_temp6_20260606_161945_4_3,human_prior,PD,GPT-4o vs Human Prior (Dvorak & Fehrler 2024),0.5889,0.508,,,,,,,,,,,
GPT-4o-mini,pd_pd_results_human_prior_temp6_20260606_161945_4_4,human_prior,PD,GPT-4o-mini vs Human Prior (Dvorak & Fehrler 2024),0.7286,0.38,,,,,,,,,,,
Human Prior (Dvorak & Fehrler 2024),pd_pd_results_human_prior_temp6_20260606_161945_4_4,human_prior,PD,GPT-4o-mini vs Human Prior (Dvorak & Fehrler 2024),0.1795,0.4215,,,,,,,,,,,
Gemini 2.5 Flash,pd_pd_results_human_prior_temp6_20260606_161945_4_5,human_prior,PD,Gemini 2.5 Flash vs Human Prior (Dvorak & Fehrler 2024),0.0,0.315,,,,,,,,,,,
Human Prior (Dvorak & Fehrler 2024),pd_pd_results_human_prior_temp6_20260606_161945_4_5,human_prior,PD,Gemini 2.5 Flash vs Human Prior (Dvorak & Fehrler 2024),,0.059,,,,,,,,,,,
Gemini 2.5 Flash Lite,pd_pd_results_human_prior_temp6_20260606_161945_4_6,human_prior,PD,Gemini 2.5 Flash Lite vs Human Prior (Dvorak & Fehrler 2024),-0.5,0.4625,,,,,,,,,,,
Human Prior (Dvorak & Fehrler 2024),pd_pd_results_human_prior_temp6_20260606_161945_4_6,human_prior,PD,Gemini 2.5 Flash Lite vs Human Prior (Dvorak & Fehrler 2024),0.375,0.446,,,,,,,,,,,
Claude Opus,pd_pd_results_human_prior_temp6_20260606_163601_5_1,human_prior,PD,Claude Opus vs Human Prior (Dvorak & Fehrler 2024),0.0,0.208,,,,,,,,,,,
Human Prior (Dvorak & Fehrler 2024),pd_pd_results_human_prior_temp6_20260606_163601_5_1,human_prior,PD,Claude Opus vs Human Prior (Dvorak & Fehrler 2024),-0.1111,0.109,,,,,,,,,,,
Claude Sonnet,pd_pd_results_human_prior_temp6_20260606_163601_5_2,human_prior,PD,Claude Sonnet vs Human Prior (Dvorak & Fehrler 2024),0.0952,0.4325,,,,,,,,,,,
Human Prior (Dvorak & Fehrler 2024),pd_pd_results_human_prior_temp6_20260606_163601_5_2,human_prior,PD,Claude Sonnet vs Human Prior (Dvorak & Fehrler 2024),0.7738,0.5725,,,,,,,,,,,
GPT-4o,pd_pd_results_human_prior_temp6_20260606_163601_5_3,human_prior,PD,GPT-4o vs Human Prior (Dvorak & Fehrler 2024),0.2708,0.29,,,,,,,,,,,
Human Prior (Dvorak & Fehrler 2024),pd_pd_results_human_prior_temp6_20260606_163601_5_3,human_prior,PD,GPT-4o vs Human Prior (Dvorak & Fehrler 2024),0.2708,0.2335,,,,,,,,,,,
GPT-4o-mini,pd_pd_results_human_prior_temp6_20260606_163601_5_4,human_prior,PD,GPT-4o-mini vs Human Prior (Dvorak & Fehrler 2024),0.0,0.1625,,,,,,,,,,,
Human Prior (Dvorak & Fehrler 2024),pd_pd_results_human_prior_temp6_20260606_163601_5_4,human_prior,PD,GPT-4o-mini vs Human Prior (Dvorak & Fehrler 2024),-0.0556,0.1015,,,,,,,,,,,
Gemini 2.5 Flash,pd_pd_results_human_prior_temp6_20260606_163601_5_5,human_prior,PD,Gemini 2.5 Flash vs Human Prior (Dvorak & Fehrler 2024),0.0,0.15,,,,,,,,,,,
Human Prior (Dvorak & Fehrler 2024),pd_pd_results_human_prior_temp6_20260606_163601_5_5,human_prior,PD,Gemini 2.5 Flash vs Human Prior (Dvorak & Fehrler 2024),,0.062,,,,,,,,,,,
Gemini 2.5 Flash Lite,pd_pd_results_human_prior_temp6_20260606_163601_5_6,human_prior,PD,Gemini 2.5 Flash Lite vs Human Prior (Dvorak & Fehrler 2024),0.9,0.71,,,,,,,,,,,
Human Prior (Dvorak & Fehrler 2024),pd_pd_results_human_prior_temp6_20260606_163601_5_6,human_prior,PD,Gemini 2.5 Flash Lite vs Human Prior (Dvorak & Fehrler 2024),0.9,0.804,,,,,,,,,,,
Claude Opus,pd_pd_results_human_prior_temp6_20260607_143515_6_1,human_prior,PD,Claude Opus vs Human Prior (Dvorak & Fehrler 2024),-0.0286,0.5525,,,,,,,,,,,
Human Prior (Dvorak & Fehrler 2024),pd_pd_results_human_prior_temp6_20260607_143515_6_1,human_prior,PD,Claude Opus vs Human Prior (Dvorak & Fehrler 2024),0.5341,0.521,,,,,,,,,,,
Claude Sonnet,pd_pd_results_human_prior_temp6_20260607_143515_6_2,human_prior,PD,Claude Sonnet vs Human Prior (Dvorak & Fehrler 2024),0.0,0.1625,,,,,,,,,,,
Human Prior (Dvorak & Fehrler 2024),pd_pd_results_human_prior_temp6_20260607_143515_6_2,human_prior,PD,Claude Sonnet vs Human Prior (Dvorak & Fehrler 2024),-0.0556,0.115,,,,,,,,,,,
GPT-4o,pd_pd_results_human_prior_temp6_20260607_143515_6_3,human_prior,PD,GPT-4o vs Human Prior (Dvorak & Fehrler 2024),0.3857,0.405,,,,,,,,,,,
Human Prior (Dvorak & Fehrler 2024),pd_pd_results_human_prior_temp6_20260607_143515_6_3,human_prior,PD,GPT-4o vs Human Prior (Dvorak & Fehrler 2024),0.2619,0.429,,,,,,,,,,,
GPT-4o-mini,pd_pd_results_human_prior_temp6_20260607_143515_6_4,human_prior,PD,GPT-4o-mini vs Human Prior (Dvorak & Fehrler 2024),0.5286,0.26,,,,,,,,,,,
Human Prior (Dvorak & Fehrler 2024),pd_pd_results_human_prior_temp6_20260607_143515_6_4,human_prior,PD,GPT-4o-mini vs Human Prior (Dvorak & Fehrler 2024),0.8,0.2745,,,,,,,,,,,
Gemini 2.5 Flash,pd_pd_results_human_prior_temp6_20260607_143515_6_5,human_prior,PD,Gemini 2.5 Flash vs Human Prior (Dvorak & Fehrler 2024),0.0,0.6475,,,,,,,,,,,
Human Prior (Dvorak & Fehrler 2024),pd_pd_results_human_prior_temp6_20260607_143515_6_5,human_prior,PD,Gemini 2.5 Flash vs Human Prior (Dvorak & Fehrler 2024),,0.083,,,,,,,,,,,
Gemini 2.5 Flash Lite,pd_pd_results_human_prior_temp6_20260607_143515_6_6,human_prior,PD,Gemini 2.5 Flash Lite vs Human Prior (Dvorak & Fehrler 2024),0.0,0.325,,,,,,,,,,,
Human Prior (Dvorak & Fehrler 2024),pd_pd_results_human_prior_temp6_20260607_143515_6_6,human_prior,PD,Gemini 2.5 Flash Lite vs Human Prior (Dvorak & Fehrler 2024),,0.064,,,,,,,,,,,
Claude Opus,pd_pd_results_human_prior_temp6_20260607_160539_7_1,human_prior,PD,Claude Opus vs Human Prior (Dvorak & Fehrler 2024),0.0,0.2845,,,,,,,,,,,
Human Prior (Dvorak & Fehrler 2024),pd_pd_results_human_prior_temp6_20260607_160539_7_1,human_prior,PD,Claude Opus vs Human Prior (Dvorak & Fehrler 2024),-0.2222,0.101,,,,,,,,,,,
Claude Sonnet,pd_pd_results_human_prior_temp6_20260607_160539_7_2,human_prior,PD,Claude Sonnet vs Human Prior (Dvorak & Fehrler 2024),0.9444,0.2065,,,,,,,,,,,
Human Prior (Dvorak & Fehrler 2024),pd_pd_results_human_prior_temp6_20260607_160539_7_2,human_prior,PD,Claude Sonnet vs Human Prior (Dvorak & Fehrler 2024),0.3333,0.286,,,,,,,,,,,
GPT-4o,pd_pd_results_human_prior_temp6_20260607_160539_7_3,human_prior,PD,GPT-4o vs Human Prior (Dvorak & Fehrler 2024),0.0897,0.4125,,,,,,,,,,,
Human Prior (Dvorak & Fehrler 2024),pd_pd_results_human_prior_temp6_20260607_160539_7_3,human_prior,PD,GPT-4o vs Human Prior (Dvorak & Fehrler 2024),0.8125,0.26,,,,,,,,,,,
GPT-4o-mini,pd_pd_results_human_prior_temp6_20260607_160539_7_4,human_prior,PD,GPT-4o-mini vs Human Prior (Dvorak & Fehrler 2024),0.75,0.4175,,,,,,,,,,,
